"SAP_ID","Component_Description","CMP_Type","Current_Stock","Safety_Stock","Qty_Per_Product","Base_Unit","Daily_Usage_Qty","Defect_Rate_Pct","LeadTime_Days","WIP_Inventory"
"CMP-301","NCM811 电芯单体 (280Ah)","方形铝壳","4500","8000","96","件","800","0.02","7","1200"
"CMP-302","LFP 电芯单体 (302Ah)","方形铝壳","6200","6000","96","件","600","0.01","5","1500"
"CMP-303","BMS 主控板 v4.0","电子","820","1500","1","件","150","0.03","14","200"
"CMP-304","电池模组铝合金外壳","结构件","2100","3000","1","件","350","0.01","10","500"
"CMP-305","液冷板总成 (铜铝复合)","热管理","480","1200","1","件","200","0.04","15","150"
"CMP-306","高压连接器 (800V)","电气","3400","4000","2","件","500","0.02","10","800"
"CMP-307","熔断保护器 (500V/400A)","电气","5600","6000","1","件","700","0.01","7","1200"
"CMP-308","电压采集 FPC 线束","电子","7200","8000","1","件","900","0.02","5","2000"
"CMP-309","电池包密封垫圈 (硅胶)","密封件","8900","9000","2","件","1100","0.01","3","3000"
"CMP-310","温控传感器模组 (NTC)","电子","1500","2500","4","件","250","0.03","12","400"
"CMP-311","正极极片 (NCM811, 预锂化)","极片","3200","5000","96","件","450","0.02","7","1000"
"CMP-312","负极极片 (石墨/硅氧复合)","极片","4800","6000","96","件","500","0.01","7","1200"
"CMP-313","电解液注入模块 (精密泵)","生产设备","2","5","1","件","0","0.01","30","0"
"CMP-314","电池包结构框架 (钢制)","结构件","980","2000","1","件","180","0.01","15","200"
"CMP-315","热失控传感器 (气体/VOC)","电子","2800","3000","2","件","350","0.02","10","600"
"CMP-316","高压继电器 (800V/250A)","电气","1800","2500","1","件","300","0.02","12","400"
"CMP-317","电池包底部护板 (钛合金)","结构件","600","1500","1","件","120","0.01","20","100"
"CMP-318","汇流排 (Busbar, 铜镀镍)","电气","4500","5000","8","件","600","0.01","5","1500"
"CMP-401","固态电芯原型 (ASSB-1) ⚡","固态电池","200","500","48","件","30","0.05","30","50"
"CMP-402","低温启动加热膜 (PTC) ⚡","热管理","1500","1000","1","件","100","0.02","15","300"
"CMP-403","钠离子电芯单体 (26700) ⚡","圆柱","5000","3000","48","件","400","0.03","10","800"
"CMP-404","智能BMS 从控板 v5.0 ⚡","电子","400","800","1","件","80","0.02","18","100"
"CMP-405","无线BMS通信模组 ⚡","电子","800","600","1","件","60","0.01","14","150"
"CMP-406","CNT复合导热垫片 ⚡","热管理","2000","1500","2","件","200","0.01","10","500"
