product_id,ingredient_id,ingredient_order
PF001,ING001,1
PF001,ING006,2
PF001,ING011,3
PF001,ING010,4
PF001,ING009,5
PF001,ING020,6
PF002,ING003,1
PF002,ING006,2
PF002,ING013,3
PF002,ING011,4
PF002,ING010,5
PF002,ING020,6
PF003,ING002,1
PF003,ING011,2
PF003,ING012,3
PF003,ING010,4
PF003,ING018,5
PF003,ING019,6
PF004,ING004,1
PF004,ING006,2
PF004,ING007,3
PF004,ING008,4
PF004,ING014,5
PF004,ING020,6
PF005,ING005,1
PF005,ING006,2
PF005,ING012,3
PF005,ING011,4
PF005,ING020,5
PF006,ING001,1
PF006,ING006,2
PF006,ING013,3
PF006,ING014,4
PF006,ING011,5
PF006,ING020,6
PF007,ING003,1
PF007,ING011,2
PF007,ING006,3
PF007,ING010,4
PF007,ING020,5
PF008,ING004,1
PF008,ING006,2
PF008,ING007,3
PF008,ING012,4
PF008,ING018,5
PF008,ING020,6
PF009,ING001,1
PF009,ING006,2
PF009,ING012,3
PF009,ING011,4
PF009,ING010,5
PF009,ING020,6
PF010,ING004,1
PF010,ING007,2
PF010,ING008,3
PF010,ING011,4
PF010,ING009,5
PF010,ING020,6
PF011,ING003,1
PF011,ING006,2
PF011,ING013,3
PF011,ING011,4
PF011,ING010,5
PF011,ING020,6
PF012,ING005,1
PF012,ING006,2
PF012,ING013,3
PF012,ING014,4
PF012,ING018,5
PF012,ING020,6
