"Source_SAP_ID","Target_SAP_ID","Relationship_Type","Relation_Label"
"RM-301","0.03","supplies","供应"
"RM-307","0.03","supplies","供应"
"RM-318","0.03","supplies","供应"
"RM-406","0.03","supplies","供应"
"RM-302","0.01","supplies","供应"
"RM-306","0.01","supplies","供应"
"RM-308","0.01","supplies","供应"
"RM-311","0.01","supplies","供应"
"RM-312","0.01","supplies","供应"
"RM-314","0.01","supplies","供应"
"RM-316","0.01","supplies","供应"
"RM-320","0.01","supplies","供应"
"RM-322","0.01","supplies","供应"
"RM-323","0.01","supplies","供应"
"RM-401","0.01","supplies","供应"
"RM-403","0.01","supplies","供应"
"RM-404","0.01","supplies","供应"
"RM-405","0.01","supplies","供应"
"RM-407","0.01","supplies","供应"
"RM-303","0.02","supplies","供应"
"RM-305","0.02","supplies","供应"
"RM-309","0.02","supplies","供应"
"RM-313","0.02","supplies","供应"
"RM-317","0.02","supplies","供应"
"RM-319","0.02","supplies","供应"
"RM-321","0.02","supplies","供应"
"RM-324","0.02","supplies","供应"
"RM-402","0.02","supplies","供应"
"RM-304","0.04","supplies","供应"
"RM-315","0.04","supplies","供应"
"RM-310","0.05","supplies","供应"
"RM-408","0.06","supplies","供应"
"RM-301","CMP-301","used_in","生产用料"
"RM-302","CMP-301","used_in","生产用料"
"RM-304","CMP-301","used_in","生产用料"
"RM-309","CMP-301","used_in","生产用料"
"RM-311","CMP-301","used_in","生产用料"
"RM-312","CMP-301","used_in","生产用料"
"RM-315","CMP-301","used_in","生产用料"
"RM-317","CMP-301","used_in","生产用料"
"RM-313","CMP-301","used_in","生产用料"
"RM-314","CMP-301","used_in","生产用料"
"RM-324","CMP-301","used_in","生产用料"
"RM-302","CMP-302","used_in","生产用料"
"RM-305","CMP-302","used_in","生产用料"
"RM-318","CMP-302","used_in","生产用料"
"RM-311","CMP-302","used_in","生产用料"
"RM-312","CMP-302","used_in","生产用料"
"RM-323","CMP-302","used_in","生产用料"
"RM-317","CMP-302","used_in","生产用料"
"RM-306","CMP-303","used_in","生产用料"
"RM-313","CMP-303","used_in","生产用料"
"RM-311","CMP-305","used_in","生产用料"
"RM-309","CMP-305","used_in","生产用料"
"RM-308","CMP-311","used_in","生产用料"
"RM-304","CMP-311","used_in","生产用料"
"RM-314","CMP-311","used_in","生产用料"
"RM-324","CMP-311","used_in","生产用料"
"RM-305","CMP-312","used_in","生产用料"
"RM-314","CMP-312","used_in","生产用料"
"RM-320","CMP-312","used_in","生产用料"
"RM-319","CMP-312","used_in","生产用料"
"RM-316","CMP-312","used_in","生产用料"
"RM-311","CMP-304","used_in","生产用料"
"RM-309","CMP-304","used_in","生产用料"
"RM-313","CMP-309","used_in","生产用料"
"RM-306","CMP-309","used_in","生产用料"
"RM-306","CMP-308","used_in","生产用料"
"RM-303","CMP-310","used_in","生产用料"
"RM-307","CMP-310","used_in","生产用料"
"RM-310","CMP-307","used_in","生产用料"
"RM-312","CMP-306","used_in","生产用料"
"RM-321","CMP-306","used_in","生产用料"
"RM-311","CMP-314","used_in","生产用料"
"RM-309","CMP-314","used_in","生产用料"
"RM-303","CMP-313","used_in","生产用料"
"RM-322","CMP-313","used_in","生产用料"
"RM-313","CMP-313","used_in","生产用料"
"RM-303","CMP-315","used_in","生产用料"
"RM-307","CMP-315","used_in","生产用料"
"RM-310","CMP-316","used_in","生产用料"
"RM-312","CMP-318","used_in","生产用料"
"RM-311","CMP-318","used_in","生产用料"
"RM-311","CMP-317","used_in","生产用料"
"RM-316","CMP-317","used_in","生产用料"
"RM-401","CMP-401","used_in","生产用料"
"RM-406","CMP-401","used_in","生产用料"
"RM-405","CMP-401","used_in","生产用料"
"RM-404","CMP-402","used_in","生产用料"
"RM-407","CMP-402","used_in","生产用料"
"RM-401","CMP-403","used_in","生产用料"
"RM-323","CMP-403","used_in","生产用料"
"RM-317","CMP-403","used_in","生产用料"
"RM-306","CMP-404","used_in","生产用料"
"RM-306","CMP-405","used_in","生产用料"
"RM-313","CMP-405","used_in","生产用料"
"RM-405","CMP-406","used_in","生产用料"
"RM-407","CMP-406","used_in","生产用料"
"RM-403","CMP-301","used_in","生产用料"
"RM-402","CMP-301","used_in","生产用料"
"RM-408","CMP-301","used_in","生产用料"
"RM-403","CMP-312","used_in","生产用料"
"RM-404","CMP-310","used_in","生产用料"
"RM-407","CMP-311","used_in","生产用料"
"CMP-301","FP-301","assembled_into","总装构成"
"CMP-303","FP-301","assembled_into","总装构成"
"CMP-304","FP-301","assembled_into","总装构成"
"CMP-305","FP-301","assembled_into","总装构成"
"CMP-306","FP-301","assembled_into","总装构成"
"CMP-307","FP-301","assembled_into","总装构成"
"CMP-308","FP-301","assembled_into","总装构成"
"CMP-309","FP-301","assembled_into","总装构成"
"CMP-310","FP-301","assembled_into","总装构成"
"CMP-311","FP-301","assembled_into","总装构成"
"CMP-312","FP-301","assembled_into","总装构成"
"CMP-314","FP-301","assembled_into","总装构成"
"CMP-315","FP-301","assembled_into","总装构成"
"CMP-316","FP-301","assembled_into","总装构成"
"CMP-317","FP-301","assembled_into","总装构成"
"CMP-318","FP-301","assembled_into","总装构成"
"CMP-302","FP-302","assembled_into","总装构成"
"CMP-303","FP-302","assembled_into","总装构成"
"CMP-304","FP-302","assembled_into","总装构成"
"CMP-305","FP-302","assembled_into","总装构成"
"CMP-306","FP-302","assembled_into","总装构成"
"CMP-307","FP-302","assembled_into","总装构成"
"CMP-308","FP-302","assembled_into","总装构成"
"CMP-309","FP-302","assembled_into","总装构成"
"CMP-310","FP-302","assembled_into","总装构成"
"CMP-312","FP-302","assembled_into","总装构成"
"CMP-314","FP-302","assembled_into","总装构成"
"CMP-318","FP-302","assembled_into","总装构成"
"CMP-301","FP-303","assembled_into","总装构成"
"CMP-303","FP-303","assembled_into","总装构成"
"CMP-304","FP-303","assembled_into","总装构成"
"CMP-305","FP-303","assembled_into","总装构成"
"CMP-306","FP-303","assembled_into","总装构成"
"CMP-307","FP-303","assembled_into","总装构成"
"CMP-308","FP-303","assembled_into","总装构成"
"CMP-309","FP-303","assembled_into","总装构成"
"CMP-314","FP-303","assembled_into","总装构成"
"CMP-316","FP-303","assembled_into","总装构成"
"CMP-317","FP-303","assembled_into","总装构成"
"CMP-318","FP-303","assembled_into","总装构成"
"CMP-302","FP-304","assembled_into","总装构成"
"CMP-303","FP-304","assembled_into","总装构成"
"CMP-305","FP-304","assembled_into","总装构成"
"CMP-306","FP-304","assembled_into","总装构成"
"CMP-307","FP-304","assembled_into","总装构成"
"CMP-308","FP-304","assembled_into","总装构成"
"CMP-309","FP-304","assembled_into","总装构成"
"CMP-310","FP-304","assembled_into","总装构成"
"CMP-314","FP-304","assembled_into","总装构成"
"CMP-315","FP-304","assembled_into","总装构成"
"CMP-301","FP-305","assembled_into","总装构成"
"CMP-303","FP-305","assembled_into","总装构成"
"CMP-304","FP-305","assembled_into","总装构成"
"CMP-306","FP-305","assembled_into","总装构成"
"CMP-307","FP-305","assembled_into","总装构成"
"CMP-308","FP-305","assembled_into","总装构成"
"CMP-309","FP-305","assembled_into","总装构成"
"CMP-311","FP-305","assembled_into","总装构成"
"CMP-314","FP-305","assembled_into","总装构成"
"CMP-316","FP-305","assembled_into","总装构成"
"CMP-318","FP-305","assembled_into","总装构成"
"CMP-302","FP-306","assembled_into","总装构成"
"CMP-304","FP-306","assembled_into","总装构成"
"CMP-306","FP-306","assembled_into","总装构成"
"CMP-307","FP-306","assembled_into","总装构成"
"CMP-308","FP-306","assembled_into","总装构成"
"CMP-309","FP-306","assembled_into","总装构成"
"CMP-318","FP-306","assembled_into","总装构成"
"CMP-301","FP-307","assembled_into","总装构成"
"CMP-303","FP-307","assembled_into","总装构成"
"CMP-304","FP-307","assembled_into","总装构成"
"CMP-305","FP-307","assembled_into","总装构成"
"CMP-306","FP-307","assembled_into","总装构成"
"CMP-307","FP-307","assembled_into","总装构成"
"CMP-308","FP-307","assembled_into","总装构成"
"CMP-309","FP-307","assembled_into","总装构成"
"CMP-310","FP-307","assembled_into","总装构成"
"CMP-311","FP-307","assembled_into","总装构成"
"CMP-314","FP-307","assembled_into","总装构成"
"CMP-315","FP-307","assembled_into","总装构成"
"CMP-316","FP-307","assembled_into","总装构成"
"CMP-302","FP-308","assembled_into","总装构成"
"CMP-304","FP-308","assembled_into","总装构成"
"CMP-306","FP-308","assembled_into","总装构成"
"CMP-307","FP-308","assembled_into","总装构成"
"CMP-308","FP-308","assembled_into","总装构成"
"CMP-309","FP-308","assembled_into","总装构成"
"CMP-318","FP-308","assembled_into","总装构成"
"CMP-302","FP-309","assembled_into","总装构成"
"CMP-303","FP-309","assembled_into","总装构成"
"CMP-306","FP-309","assembled_into","总装构成"
"CMP-307","FP-309","assembled_into","总装构成"
"CMP-308","FP-309","assembled_into","总装构成"
"CMP-309","FP-309","assembled_into","总装构成"
"CMP-314","FP-309","assembled_into","总装构成"
"CMP-315","FP-309","assembled_into","总装构成"
"CMP-301","FP-310","assembled_into","总装构成"
"CMP-303","FP-310","assembled_into","总装构成"
"CMP-304","FP-310","assembled_into","总装构成"
"CMP-306","FP-310","assembled_into","总装构成"
"CMP-307","FP-310","assembled_into","总装构成"
"CMP-308","FP-310","assembled_into","总装构成"
"CMP-309","FP-310","assembled_into","总装构成"
"CMP-314","FP-310","assembled_into","总装构成"
"CMP-316","FP-310","assembled_into","总装构成"
"CMP-317","FP-310","assembled_into","总装构成"
"CMP-401","FP-401","assembled_into","总装构成"
"CMP-404","FP-401","assembled_into","总装构成"
"CMP-405","FP-401","assembled_into","总装构成"
"CMP-304","FP-401","assembled_into","总装构成"
"CMP-306","FP-401","assembled_into","总装构成"
"CMP-307","FP-401","assembled_into","总装构成"
"CMP-308","FP-401","assembled_into","总装构成"
"CMP-309","FP-401","assembled_into","总装构成"
"CMP-403","FP-402","assembled_into","总装构成"
"CMP-303","FP-402","assembled_into","总装构成"
"CMP-304","FP-402","assembled_into","总装构成"
"CMP-306","FP-402","assembled_into","总装构成"
"CMP-307","FP-402","assembled_into","总装构成"
"CMP-308","FP-402","assembled_into","总装构成"
"CMP-309","FP-402","assembled_into","总装构成"
"CMP-406","FP-402","assembled_into","总装构成"
"CMP-402","FP-403","assembled_into","总装构成"
"CMP-301","FP-403","assembled_into","总装构成"
"CMP-303","FP-403","assembled_into","总装构成"
"CMP-306","FP-403","assembled_into","总装构成"
