"SAP_ID","Material_Description","Mat_Group","Base_Unit","Current_Stock_Qty","Safety_Stock_Level","Avg_Daily_Consumption","LeadTime_Days","Quality_Score_Pct","Defect_Pct","Supplier_SAP_ID","Warehouse_Bin","Last_GR_Date"
"RM-301","高纯钴粉 (Co≥99.9%)","正极材料","吨","2.3","20.0","5.5","45","0.88","0.03","SUP-301","W01-A03","2025-03-15"
"RM-302","电池级碳酸锂 (Li₂CO₃)","正极材料","吨","85.0","40.0","8.0","14","0.95","0.01","SUP-302","W01-B01","2025-04-01"
"RM-303","六氟磷酸锂 (LiPF₆)","电解液","吨","18.0","25.0","4.2","14","0.91","0.02","SUP-303","W02-A05","2025-03-20"
"RM-304","NCM811前驱体 (Ni₀.₈Co₀.₁Mn₀.₁)","正极材料","吨","12.5","20.0","6.0","30","0.87","0.04","SUP-304","W01-A01","2025-03-10"
"RM-305","球形石墨 (99.95%)","负极材料","吨","55.0","30.0","7.0","28","0.93","0.02","SUP-305","W03-C02","2025-04-02"
"RM-306","N-甲基吡咯烷酮 (NMP)","辅助材料","吨","28.0","20.0","3.5","18","0.9","0.01","SUP-309","W02-B04","2025-03-28"
"RM-307","电解液添加剂 (FEC)","电解液","吨","3.8","8.0","1.2","22","0.86","0.03","SUP-310","W02-A06","2025-03-18"
"RM-308","高纯氢氧化锂 (LiOH·H₂O)","正极材料","吨","48.0","25.0","4.0","14","0.96","0.01","SUP-306","W01-B02","2025-04-03"
"RM-309","镍粉 (99.9%, 3-5μm)","正极材料","吨","22.0","18.0","5.0","25","0.89","0.02","SUP-307","W01-A04","2025-03-22"
"RM-310","硫酸钴溶液 (CoSO₄·7H₂O)","正极材料","吨","8.0","15.0","3.0","50","0.82","0.05","SUP-308","W01-A05","2025-02-28"
"RM-311","铝箔集流体 (15μm)","集流体","吨","68.0","40.0","9.0","24","0.94","0.01","SUP-305","W04-D01","2025-04-01"
"RM-312","铜箔集流体 (8μm)","集流体","吨","52.0","35.0","8.5","24","0.92","0.01","SUP-311","W04-D02","2025-03-30"
"RM-313","聚偏氟乙烯 (PVDF-HSV900)","粘结剂","吨","12.0","15.0","2.5","18","0.88","0.02","SUP-309","W02-C01","2025-03-25"
"RM-314","导电炭黑 (Super-P Li)","导电剂","吨","24.0","20.0","3.0","14","0.91","0.01","SUP-312","W02-C02","2025-04-01"
"RM-315","氧化钴 (Co₃O₄, 电池级)","正极材料","吨","5.0","18.0","3.5","45","0.83","0.04","SUP-301","W01-A06","2025-03-05"
"RM-316","钛酸锂 (Li₂TiO₃)","负极材料","吨","32.0","25.0","4.0","28","0.94","0.01","SUP-313","W03-C03","2025-03-29"
"RM-317","聚丙烯隔膜 (12μm)","隔膜","吨","48.0","30.0","7.5","24","0.92","0.02","SUP-305","W03-A01","2025-04-02"
"RM-318","氧化锰 (MnO₂, 60%)","正极材料","吨","42.0","35.0","5.0","20","0.85","0.03","SUP-304","W01-A07","2025-03-20"
"RM-319","SBR丁苯橡胶粘结剂","粘结剂","吨","8.5","12.0","1.8","22","0.87","0.02","SUP-310","W02-C03","2025-03-15"
"RM-320","CMC羧甲基纤维素钠","粘结剂","吨","15.0","10.0","1.5","20","0.9","0.01","SUP-312","W02-C04","2025-04-01"
"RM-321","铝塑膜 (锂电封装用)","封装材料","吨","22.0","15.0","3.0","28","0.88","0.02","SUP-311","W04-E01","2025-03-28"
"RM-322","电解液溶剂 (EC/EMC 混合)","电解液","吨","35.0","25.0","4.5","18","0.92","0.01","SUP-303","W02-A07","2025-04-01"
"RM-323","磷酸铁锂 (LiFePO₄)","正极材料","吨","62.0","35.0","7.0","21","0.95","0.01","SUP-302","W01-B03","2025-04-02"
"RM-324","碳纳米管 (CNT 导电浆料)","导电剂","吨","16.0","12.0","2.0","28","0.91","0.02","SUP-309","W02-C05","2025-03-28"
"RM-401","高纯锰粉 (Mn≥99.95%) ⚡","正极材料","吨","30.0","15.0","3.0","20","0.94","0.01","SUP-401","W01-B05","2025-04-10"
"RM-402","镍钴氢氧化物 (Ni₀.₆Co₀.₂Mn₀.₂) ⚡","正极材料","吨","0.0","18.0","4.0","25","0.9","0.02","SUP-402","W01-A08","2025-04-12"
"RM-403","铌掺杂钛酸锂 (LNO) ⚡","负极材料","吨","18.0","12.0","1.5","35","0.93","0.01","SUP-406","W03-C05","2025-04-08"
"RM-404","低温电解液配方 (LCE-1) ⚡","电解液","吨","25.0","12.0","2.0","18","0.96","0.01","SUP-404","W02-A08","2025-04-15"
"RM-405","单壁碳纳米管 (SWCNT) ⚡","导电剂","吨","10.0","8.0","1.0","20","0.95","0.01","SUP-401","W02-C06","2025-04-12"
"RM-406","固态电解质材料 (LLZO) ⚡","电解质","吨","5.0","10.0","1.0","30","0.88","0.03","SUP-405","W02-A09","2025-04-05"
"RM-407","石墨烯导电浆料 (GNP-5%) ⚡","导电剂","吨","15.0","10.0","1.5","16","0.97","0.01","SUP-404","W02-C07","2025-04-14"
"RM-408","回收钴粉 (再生材料) ⚡","正极材料","吨","0.0","8.0","1.0","28","0.8","0.06","SUP-403","W01-A09","2025-04-01"
