"SAP_ID","Product_Description","Product_Category","Monthly_Target_Yield","Monthly_Actual_Yield","Yield_Pct","Base_Unit","Factory_SAP_ID","BOM_Level","Avg_Selling_Price_USD"
"FP-301","长续航电池包 100kWh (NCM811)","乘用车","500","385","77.0","台","FAC-301","3","12000"
"FP-302","标准续航电池包 75kWh (LFP)","乘用车","800","720","90.0","台","FAC-301","3","8500"
"FP-303","商用车电池包 200kWh","商用车","200","168","84.0","台","FAC-302","3","24000"
"FP-304","储能集装箱系统 1MWh","储能","80","62","77.5","台","FAC-303","4","80000"
"FP-305","换电站快换电池包 80kWh","换电","350","290","82.9","台","FAC-301","3","9500"
"FP-306","48V 轻混电池模组 500Wh","轻混","1200","1050","87.5","台","FAC-302","2","1200"
"FP-307","电动船舶电池组 500kWh","船舶","30","22","73.3","台","FAC-303","4","55000"
"FP-308","两轮车换电电池包 2kWh","两轮","2000","1550","77.5","台","FAC-302","2","350"
"FP-309","数据中心备电模组 100kWh","备电","150","135","90.0","台","FAC-306","3","15000"
"FP-310","电动工程机械电池 300kWh","工程","60","48","80.0","台","FAC-306","3","36000"
"FP-401","半固态电池包 120kWh ⚡","乘用车高端","100","55","55.0","台","FAC-401","3","18000"
"FP-402","钠离子储能系统 200kWh ⚡","储能","150","100","66.7","台","FAC-402","3","12000"
"FP-403","低温极寒电池包 60kWh ⚡","特种车辆","50","42","84.0","台","FAC-402","3","16000"
"FP-404","家用储能一体机 15kWh ⚡","户用储能","500","420","84.0","台","FAC-401","2","2800"
