Source_Node_ID,Target_Node_ID,Relationship_Type,Sourcing_Strategy,Annual_Value_USD
SUP-A01,CMP-A01,SUPPLIES,Single_Source,12000000
SUP-A02,CMP-A02,SUPPLIES,Dual_Source,8500000
SUP-A03,CMP-A04,SUPPLIES,Multi_Source,3200000
SUP-A04,CMP-A03,SUPPLIES,Single_Source,2800000
SUP-A05,CMP-A05,SUPPLIES,Single_Source,1500000
CMP-A01,FP-A01,ASSEMBLED_INTO,Critical,
CMP-A02,FP-A01,ASSEMBLED_INTO,Critical,
CMP-A03,FP-A01,ASSEMBLED_INTO,Standard,
CMP-A04,FP-A01,ASSEMBLED_INTO,Standard,
CMP-A04,FP-A02,ASSEMBLED_INTO,Standard,
CMP-A05,FP-A01,ASSEMBLED_INTO,Critical,
CMP-A05,FP-A02,ASSEMBLED_INTO,Critical,
CMP-A02,FP-A02,ASSEMBLED_INTO,Critical,
CMP-A03,FP-A02,ASSEMBLED_INTO,Standard,
FP-A01,FAC-A01,MANUFACTURED_AT,,
FP-A02,FAC-A01,MANUFACTURED_AT,,
FP-A03,FAC-A02,DEVELOPED_AT,,
