"SAP_ID","Vendor_Name","Risk_Category","OnTime_Delivery_Pct","LeadTime_Days","Payment_Terms","Country_Region","City","Contact_Person","Phone_Number","ISO_Certification","Contract_Ref","Last_Audit_Date"
"SUP-301","刚果金钴业联合体","High","0.55","45","T/T 30天","刚果(金)","卢本巴希","Mr. Kabongo","+243-1234-5678","ISO 9001","PO-2024-0301","2024-08"
"SUP-302","天齐锂业澳洲分公司","Low","0.94","21","LC 60天","澳大利亚","珀斯","Ms. Chen","+61-8-9000-1001","IATF 16949","PO-2024-0302","2025-01"
"SUP-303","巴斯夫正极材料事业部","Low","0.96","14","Net 45","德国","路德维希港","Dr. Weber","+49-621-6000-200","IATF 16949","PO-2024-0303","2025-02"
"SUP-304","华友钴业新材料集团","Medium","0.75","30","T/T 60天","中国","浙江桐乡","张经理","+86-573-8888-1234","ISO 14001","PO-2024-0304","2024-11"
"SUP-305","住友金属矿业株式会社","Medium","0.82","28","LC 45天","日本","东京","佐藤部长","+81-3-5200-3001","ISO 9001","PO-2024-0305","2024-10"
"SUP-306","赣锋锂业有限公司","Low","0.93","14","T/T 30天","中国","江西新余","王总","+86-790-6666-8888","IATF 16949","PO-2024-0306","2025-01"
"SUP-307","金川集团镍钴研究院","Medium","0.78","25","Net 60","中国","甘肃金昌","李院长","+86-935-8811-2233","ISO 9001","PO-2024-0307","2024-09"
"SUP-308","淡水河谷镍业加拿大","High","0.58","50","T/T 30天","加拿大","萨德伯里","Mr. Thompson","+1-705-555-0100","ISO 14001","PO-2024-0308","2024-06"
"SUP-309","优美科正极材料","Low","0.91","18","Net 30","比利时","布鲁塞尔","Ms. Janssen","+32-2-700-5000","IATF 16949","PO-2024-0309","2025-03"
"SUP-310","LG化学上游材料事业部","Medium","0.8","22","LC 60天","韩国","首尔","金部长","+82-2-2190-8000","IATF 16949","PO-2024-0310","2024-12"
"SUP-311","三菱化学高功能材料","Medium","0.79","24","Net 45","日本","东京","中村课长","+81-3-6414-8000","ISO 9001","PO-2024-0311","2024-10"
"SUP-312","宁德时代上游原料事业部","Low","0.95","10","内部调拨","中国","福建宁德","陈总监","+86-593-2999-1000","IATF 16949","PO-2024-0312","2025-02"
"SUP-313","青海盐湖工业股份","Medium","0.72","20","T/T 30天","中国","青海格尔木","刘厂长","+86-979-8888-6600","ISO 9001","PO-2024-0313","2024-08"
"SUP-314","智利SQM锂业亚太部","Low","0.88","28","LC 45天","智利","圣地亚哥","Mr. Silva","+56-2-2900-3000","IATF 16949","PO-2024-0314","2025-01"
"SUP-401","南非铂族金属材料公司 ⚡","Low","0.9","20","Net 60","南非","约翰内斯堡","Mr. Botha","+27-11-555-0200","ISO 9001","PO-2025-0401","2025-03"
"SUP-402","印尼镍矿加工产业园 ⚡","Low","0.87","25","LC 45天","印度尼西亚","苏拉威西","Mr. Wijaya","+62-21-5000-4000","ISO 14001","PO-2025-0402","2025-04"
"SUP-403","格陵兰矿产勘探集团 ⚡","Medium","0.76","35","T/T 30天","格陵兰","努克","Ms. Andersen","+299-3-200-0500","ISO 9001","PO-2025-0403","2025-02"
"SUP-404","沙特矿业公司化肥事业部 ⚡","Low","0.92","18","Net 30","沙特阿拉伯","利雅得","Mr. Al-Saud","+966-11-800-1000","IATF 16949","PO-2025-0404","2025-04"
"SUP-405","芬兰锂矿精炼有限公司 ⚡","Low","0.95","16","LC 30天","芬兰","赫尔辛基","Mr. Virtanen","+358-9-2500-6000","IATF 16949","PO-2025-0405","2025-05"
"SUP-406","巴西铌矿工业集团 ⚡","Medium","0.81","28","T/T 45天","巴西","贝洛奥里藏特","Mr. Silva Jr.","+55-31-3500-7000","ISO 9001","PO-2025-0406","2025-03"
